study_accession	sample_accession	experiment_accession	fastq_ftp	sra_ftp	sample_alias	run_accession
PRJNA698986	SAMN37313774	SRX21665756	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/044/SRR25947244/SRR25947244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/044/SRR25947244/SRR25947244_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/044/SRR25947244.lite	L4_047_729G1	SRR25947244
PRJNA698986	SAMN37313804	SRX21665903	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/038/SRR25947538/SRR25947538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/038/SRR25947538/SRR25947538_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/038/SRR25947538.lite	L4_068_000M1	SRR25947538
PRJNA698986	SAMN37313806	SRX21665906	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/035/SRR25947535/SRR25947535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/035/SRR25947535/SRR25947535_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/035/SRR25947535.lite	L4_072_000M1	SRR25947535
PRJNA698986	SAMN37313850	SRX21665782	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/017/SRR25947217/SRR25947217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/017/SRR25947217/SRR25947217_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/017/SRR25947217.lite	L4_083_616G1	SRR25947217
PRJNA698986	SAMN37313879	SRX21665930	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/011/SRR25947511/SRR25947511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/011/SRR25947511/SRR25947511_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/011/SRR25947511.lite	L4_102_000M1	SRR25947511
PRJNA698986	SAMN37313887	SRX21665940	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/061/SRR25947361/SRR25947361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/061/SRR25947361/SRR25947361_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/061/SRR25947361.lite	L4_102_614G1	SRR25947361
PRJNA698986	SAMN37313979	SRX21665957	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/084/SRR25947484/SRR25947484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/084/SRR25947484/SRR25947484_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/084/SRR25947484.lite	L4_144_611G1	SRR25947484
PRJNA698986	SAMN37314058	SRX21665743	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/057/SRR25947257/SRR25947257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/057/SRR25947257/SRR25947257_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/057/SRR25947257.lite	L4_171_000M1	SRR25947257
PRJNA698986	SAMN37314079	SRX21665840	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/059/SRR25947159/SRR25947159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/059/SRR25947159/SRR25947159_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/059/SRR25947159.lite	L4_174_000M1	SRR25947159
PRJNA698986	SAMN37313724	SRX21665825	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/074/SRR25947174/SRR25947174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/074/SRR25947174/SRR25947174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/074/SRR25947174.lite	L5_022_000M1	SRR25947174
PRJNA698986	SAMN37313756	SRX21666039	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/002/SRR25947402/SRR25947402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/002/SRR25947402/SRR25947402_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/002/SRR25947402.lite	L5_038_000M1	SRR25947402
PRJNA698986	SAMN37313772	SRX21665754	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/046/SRR25947246/SRR25947246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/046/SRR25947246/SRR25947246_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/046/SRR25947246.lite	L5_047_1096G1	SRR25947246
PRJNA698986	SAMN37313830	SRX21666072	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/069/SRR25947369/SRR25947369_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/069/SRR25947369/SRR25947369_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/069/SRR25947369.lite	L5_079_000M1	SRR25947369
PRJNA698986	SAMN37313820	SRX21666061	ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/080/SRR25947380/SRR25947380_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/080/SRR25947380/SRR25947380_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR259/080/SRR25947380.lite	L5_079_1094G1	SRR25947380
