seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NZ_AJLJ01000509.1	1	2	17	822	0.993	0.993	1	2	17	822	NA	NA	0	1	2	17	822	0.993	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NZ_AJLJ01000509.1||full	0.993	ssDNA
NZ_AJLJ01000280.1	1	2	85	1307	0.993	0.993	1	2	85	1307	NA	NA	0	1	2	85	1307	0.993	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NZ_AJLJ01000280.1||full	0.993	ssDNA
NZ_AJLJ01000244.1	1	2	1	2692	0.9	0.9	1	2	1	2692	NA	NA	0	1	2	1	2692	0.9	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_AJLJ01000244.1||full	0.9	ssDNA
NZ_AJLJ01000236.1	1	2	105	867	0.967	0.967	1	2	105	867	NA	NA	0	1	2	105	867	0.967	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_AJLJ01000236.1||full	0.967	ssDNA
NZ_AJLJ01000220.1	1	2	728	4121	0.893	0.893	1	2	728	4121	NA	NA	0	1	2	728	4121	0.893	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NZ_AJLJ01000220.1||full	0.893	ssDNA
NZ_AJLJ01000201.1	1	28	24	34462	0.533	0.547	1	28	24	34462	NA	NA	0	1	28	24	34462	0.533	0.0	11.1	0.0	18.5	22.2	48.1	1	dsDNAphage	linear	NZ_AJLJ01000201.1||full	0.533	dsDNAphage
NZ_AJLJ01000148.1	1	2	62	1524	0.987	0.987	1	2	62	1524	NA	NA	0	1	2	62	1524	0.987	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_AJLJ01000148.1||full	0.987	ssDNA
NZ_AJLJ01000087.1	1	2	1	1139	0.967	0.967	1	2	1	1139	NA	NA	0	1	2	1	1139	0.967	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NZ_AJLJ01000087.1||full	0.967	ssDNA
NZ_AJLJ01000086.1	1	2	91	1007	1.0	1.0	1	2	91	1007	NA	NA	0	1	2	91	1007	1.0	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NZ_AJLJ01000086.1||full	1.0	ssDNA
NZ_AJLJ01000059.1	1	5	3	7079	0.96	0.96	1	5	3	7079	NA	NA	0	1	5	3	7079	0.96	0.0	0.0	0.0	40.0	0.0	60.0	1	dsDNAphage	linear	NZ_AJLJ01000059.1||full	0.96	dsDNAphage
NZ_AJLJ01000024.1	1	3	3	4740	0.8	0.8	1	3	3	4740	NA	NA	0	1	3	3	4740	0.8	0.0	0.0	0.0	66.7	0.0	33.3	0	ssDNA	linear	NZ_AJLJ01000024.1||full	0.8	ssDNA
