name	length	score	pvalue	qvalue
NW_015622961.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold1, whole genome shotgun sequence	1534859	0.170583390978153	0.249333009944215	0.112355322576076
NW_015622962.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold2, whole genome shotgun sequence	1521238	0.164155815983475	0.256730536017463	0.112355322576076
NW_015622963.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold3, whole genome shotgun sequence	1421696	0.165595961759316	0.255032743148193	0.112355322576076
NW_015622964.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold4, whole genome shotgun sequence	938337	0.190515387699096	0.231748726655348	0.112355322576076
NW_015622965.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold5, whole genome shotgun sequence	867993	0.191887036156534	0.230899830220713	0.112355322576076
NW_015622966.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold6, whole genome shotgun sequence	771893	0.158985386906872	0.260853747271404	0.112355322576076
NW_015622967.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold7, whole genome shotgun sequence	733433	0.130824392690623	0.290443851564395	0.112355322576076
NW_015622968.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold8, whole genome shotgun sequence	633721	0.116130927198978	0.310211011399466	0.112500180862382
NW_015622969.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold9, whole genome shotgun sequence	608097	0.14585478342233	0.273223381033228	0.112355322576076
NW_015622970.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold10, whole genome shotgun sequence	597425	0.1845233706717	0.236599563424691	0.112355322576076
NW_015622971.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold11, whole genome shotgun sequence	574942	0.148295834603149	0.270797962648557	0.112355322576076
NW_015622972.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold12, whole genome shotgun sequence	572246	0.12340339967908	0.300509337860781	0.112500180862382
NW_015622973.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold13, whole genome shotgun sequence	534691	0.152657819470089	0.266189667717681	0.112355322576076
NW_015622974.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold14, whole genome shotgun sequence	513397	0.175161956918848	0.245209798690274	0.112355322576076
NW_015622975.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold15, whole genome shotgun sequence	490859	0.155976968450394	0.263036623817609	0.112355322576076
NW_015622976.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold16, whole genome shotgun sequence	474552	0.17610698608934	0.244360902255639	0.112355322576076
NW_015622977.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold17, whole genome shotgun sequence	473518	0.15412071690443	0.264006791171477	0.112355322576076
NW_015622978.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold18, whole genome shotgun sequence	422755	0.172695424824355	0.247513946155712	0.112355322576076
NW_015622979.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold19, whole genome shotgun sequence	413999	0.187911546904271	0.233931603201552	0.112355322576076
NW_015622980.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold20, whole genome shotgun sequence	408213	0.0911887298894925	0.351443123938879	0.116453460786065
NW_015622981.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold21, whole genome shotgun sequence	378690	0.215290838942015	0.210890128547174	0.112355322576076
NW_015622982.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold22, whole genome shotgun sequence	351245	0.179661405182006	0.241692942032501	0.112355322576076
NW_015622983.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold23, whole genome shotgun sequence	310147	0.160384520611737	0.259762308998302	0.112355322576076
NW_015622984.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold24, whole genome shotgun sequence	304651	0.129135755480911	0.292626728110599	0.112355322576076
NW_015622985.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold25, whole genome shotgun sequence	296395	0.108022712894903	0.322095561484356	0.112500180862382
NW_015622986.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold26, whole genome shotgun sequence	296105	0.143334215343567	0.276376424933301	0.112355322576076
NW_015622987.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold27, whole genome shotgun sequence	285137	0.143314862277877	0.276497695852535	0.112355322576076
NW_015622988.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold28, whole genome shotgun sequence	260773	0.178777208630821	0.242420567547902	0.112355322576076
NW_015622989.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold29, whole genome shotgun sequence	251962	0.153496175654327	0.264613145767645	0.112355322576076
NW_015622990.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold30, whole genome shotgun sequence	243425	0.200294241608837	0.223866116905166	0.112355322576076
NW_015622991.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold31, whole genome shotgun sequence	237812	0.174650796770601	0.245694882367208	0.112355322576076
NW_015622992.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold32, whole genome shotgun sequence	226893	0.15647207573789	0.262915352898375	0.112355322576076
NW_015622993.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold33, whole genome shotgun sequence	224271	0.162042364919712	0.258428328886733	0.112355322576076
NW_015622994.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold34, whole genome shotgun sequence	218878	0.185932638305782	0.235265583313122	0.112355322576076
NW_015622995.1 Rhodotorula toruloides NP11 unplaced genomic scaffold Scaffold35, whole genome shotgun sequence	204046	0.170452481421608	0.249454280863449	0.112355322576076
