seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NZ_ALKK01000084.1	1	10	1	4063	0.96	0.96	1	10	1	4063	NA	NA	0	1	10	1	4063	0.96	0.0	0.0	0.0	40.0	0.0	60.0	0	dsDNAphage	linear	NZ_ALKK01000084.1||full	0.96	dsDNAphage
NZ_ALKK01000079.1	1	27	116	23269	0.993	1.0	1	27	116	23269	NA	NA	0	1	27	116	23269	0.993	0.0	7.4	0.0	70.4	0.0	22.2	9	dsDNAphage	linear	NZ_ALKK01000079.1||full	0.993	dsDNAphage
NZ_ALKK01000077.1	1	6	2	2664	0.88	0.88	1	6	2	2664	NA	NA	0	1	6	2	2664	0.88	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	NZ_ALKK01000077.1||full	0.88	dsDNAphage
NZ_ALKK01000065.1	1	11	54	8172	0.94	0.94	1	11	54	8172	NA	NA	0	1	11	54	8172	0.94	0.0	9.1	0.0	36.4	27.3	27.3	1	dsDNAphage	linear	NZ_ALKK01000065.1||full	0.94	dsDNAphage
NZ_ALKK01000064.1	1	4	3	1298	0.687	0.687	1	4	3	1298	NA	NA	0	1	4	3	1298	0.687	0.0	0.0	0.0	25.0	0.0	75.0	0	ssDNA	linear	NZ_ALKK01000064.1||full	0.687	ssDNA
NZ_ALKK01000045.1	1	2	181	1342	0.66	0.66	1	2	181	1342	NA	NA	0	1	2	181	1342	0.66	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NZ_ALKK01000045.1||full	0.66	ssDNA
NZ_ALKK01000040.1	1	9	1	4409	0.693	0.693	1	9	1	4409	NA	NA	0	1	9	1	4409	0.693	0.0	11.1	0.0	33.3	0.0	55.6	0	dsDNAphage	linear	NZ_ALKK01000040.1||full	0.693	dsDNAphage
NZ_ALKK01000033.1	1	5	2	2043	0.967	0.967	1	5	2	2043	NA	NA	0	1	5	2	2043	0.967	0.0	0.0	0.0	40.0	0.0	60.0	0	dsDNAphage	linear	NZ_ALKK01000033.1||full	0.967	dsDNAphage
NZ_ALKK01000011.1	1	132	1	84919	1.0	1.0	1	132	1	84919	NA	NA	0	1	132	1	84919	1.0	0.0	6.1	0.0	37.1	6.1	50.8	14	dsDNAphage	linear	NZ_ALKK01000011.1||full	1.0	dsDNAphage
NZ_ALKK01000010.1	1	4	3	2718	0.507	0.507	1	4	3	2718	NA	NA	0	1	4	3	2718	0.507	0.0	25.0	0.0	50.0	0.0	25.0	0	dsDNAphage	linear	NZ_ALKK01000010.1||full	0.507	dsDNAphage
NZ_ALKK01000001.1	1	41	2	27689	1.0	1.0	1	41	2	27689	NA	NA	0	1	41	2	27689	1.0	0.0	0.0	0.0	61.0	0.0	39.0	11	dsDNAphage	linear	NZ_ALKK01000001.1||full	1.0	dsDNAphage
