name	length	score	pvalue	qvalue
NC_007087.3 Dictyostelium discoideum AX4 chromosome 1 chromosome, whole genome shotgun sequence	4923596	0.044592053177107	0.471865146737812	0.63350501490919
NC_007088.5 Dictyostelium discoideum AX4 chromosome 2 chromosome, whole genome shotgun sequence	8484197	0.0344987343105031	0.519645888915838	0.63350501490919
NC_007089.4 Dictyostelium discoideum AX4 chromosome 3 chromosome, whole genome shotgun sequence	6357299	0.0358172602430875	0.512127091923357	0.63350501490919
NC_007090.3 Dictyostelium discoideum AX4 chromosome 4 chromosome, whole genome shotgun sequence	5450249	0.0304697366622035	0.541717196216347	0.634583001282006
NC_007091.3 Dictyostelium discoideum AX4 chromosome 5 chromosome, whole genome shotgun sequence	5125352	0.0375404123555665	0.501333980111569	0.63350501490919
NC_007092.3 Dictyostelium discoideum AX4 chromosome 6 chromosome, whole genome shotgun sequence	3602379	0.038718055007175	0.495755517826825	0.63350501490919
NC_001889.1 Dictyostelium discoideum WS2162 plasmid Ddp5, complete sequence	14955	0.130941930424662	0.290322580645161	0.566820276497695
NW_003102053.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00010, whole genome shotgun sequence	6581	0.197647576518575	0.226776618966772	0.557124666504971
NW_003102052.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00011, whole genome shotgun sequence	3947	0.250420829294621	0.1896677176813	0.557124666504971
NW_003102051.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00012, whole genome shotgun sequence	9512	0.156236301967195	0.262915352898375	0.557124666504971
NW_003102050.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00013, whole genome shotgun sequence	3759	0.165946636206583	0.254668930390492	0.557124666504971
NW_003102049.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00014, whole genome shotgun sequence	8346	0.470311849564933	0.0959252971137521	0.357539743787621
NW_003102048.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00015, whole genome shotgun sequence	8929	0.158789075652472	0.260853747271404	0.557124666504971
NW_003102047.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00016, whole genome shotgun sequence	2617	0.157659845556381	0.44022800653725	0.63350501490919
NW_003102046.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00018, whole genome shotgun sequence	3280	0.729452305997331	0.0408682997817123	0.279266715175034
NW_003102061.1 Dictyostelium discoideum AX4 chromosome Un chrUn_0002, whole genome shotgun sequence	11086	0.678087073742125	0.0497210768857628	0.288934702347266
NW_003102045.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00020, whole genome shotgun sequence	1953	0.639689789452441	0.095029298042811	0.357539743787621
NW_003102044.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00021, whole genome shotgun sequence	2308	0.411498938896575	0.201419061665404	0.557124666504971
NW_003102043.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00022, whole genome shotgun sequence	5151	0.616419295287809	0.063424690759156	0.288934702347266
NW_003102042.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00023, whole genome shotgun sequence	3905	0.822865253371588	0.0251030802813485	0.278438030560272
NW_003102041.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00024, whole genome shotgun sequence	5100	0.0672111615399195	0.400921658986175	0.63350501490919
NW_003102040.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00025, whole genome shotgun sequence	7355	0.428443610771034	0.109992723744846	0.37580847279489
NW_003102039.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00026, whole genome shotgun sequence	2343	0.379034017077808	0.221190257902499	0.557124666504971
NW_003102038.1 Dictyostelium discoideum AX4 chrUn_00027 genomic scaffold, whole genome shotgun sequence	4495	0.00815310617120903	0.754790201309726	0.836389141991858
NW_003102037.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00028, whole genome shotgun sequence	5179	0.634403640351325	0.0589376667475139	0.288934702347266
NW_003102036.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00029, whole genome shotgun sequence	5697	0.0948000966239235	0.344166868784865	0.613514853051281
NW_003102060.1 Dictyostelium discoideum AX4 chromosome Un chrUn_0003, whole genome shotgun sequence	2594	0.154795753046978	0.444054689679914	0.63350501490919
NW_003102035.1 Dictyostelium discoideum AX4 chrUn_00030 genomic scaffold, whole genome shotgun sequence	2486	0.00247522294516309	0.976601427033922	0.993741778610436
NW_003102034.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00031, whole genome shotgun sequence	2149	0.935389947357327	0.00884920476740941	0.191426146010187
NW_003102033.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00032, whole genome shotgun sequence	2239	0.000953842722888276	0.993741778610436	0.993741778610436
NW_003102032.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00033, whole genome shotgun sequence	3655	0.933976483181924	0.00933786078098472	0.191426146010187
NW_003102031.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00034, whole genome shotgun sequence	4068	0.000184494140613918	0.988721804511278	0.993741778610436
NW_003102030.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00035, whole genome shotgun sequence	2525	0.00169466763882785	0.984892573843026	0.993741778610436
NW_003102029.1 Dictyostelium discoideum AX4 chromosome Un chrUn_00036, whole genome shotgun sequence	39796	0.00879211421318594	0.744118360417172	0.836389141991858
NW_003102059.1 Dictyostelium discoideum AX4 chromosome Un chrUn_0004, whole genome shotgun sequence	2216	0.160951806314145	0.435285207477977	0.63350501490919
NW_003102058.1 Dictyostelium discoideum AX4 chromosome Un chrUn_0005, whole genome shotgun sequence	4957	0.765671517825073	0.033955857385399	0.278438030560272
NW_003102057.1 Dictyostelium discoideum AX4 chromosome Un chrUn_0006, whole genome shotgun sequence	4050	0.0332834100737606	0.525345622119816	0.63350501490919
NW_003102056.1 Dictyostelium discoideum AX4 chromosome Un chrUn_0007, whole genome shotgun sequence	12018	0.147390136254783	0.271768130002425	0.557124666504971
NW_003102055.1 Dictyostelium discoideum AX4 chromosome Un chrUn_0008, whole genome shotgun sequence	2584	0.246617042666642	0.329612946944633	0.613514853051281
NW_003102054.1 Dictyostelium discoideum AX4 chromosome Un chrUn_0009, whole genome shotgun sequence	4502	0.784232470920103	0.0308028134853262	0.278438030560272
NC_000895.1 Dictyostelium discoideum mitochondrion, complete genome	55564	0.0812938576960972	0.37218045112782	0.63350501490919
