seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NW_003216794.1	1	5	118	2196	0.733	0.733	1	5	118	2196	NA	NA	0	1	5	118	2196	0.733	0.0	0.0	0.0	20.0	0.0	80.0	0	dsDNAphage	linear	NW_003216794.1||full	0.733	dsDNAphage
NW_003216124.1	1	2	283	1320	0.88	0.88	1	2	283	1320	NA	NA	0	1	2	283	1320	0.88	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003216124.1||full	0.88	ssDNA
NW_003215947.1	1	3	3	1972	0.94	0.94	1	3	3	1972	NA	NA	0	1	3	3	1972	0.94	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_003215947.1||full	0.94	ssDNA
NW_003215778.1	1	2	81	974	0.993	0.993	1	2	81	974	NA	NA	0	1	2	81	974	0.993	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003215778.1||full	0.993	ssDNA
NW_003215500.1	1	2	1621	2988	0.96	0.96	1	2	1621	2988	NA	NA	0	1	2	1621	2988	0.96	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003215500.1||full	0.96	ssDNA
NW_003215327.1	1	3	1	1104	0.96	0.96	1	3	1	1104	NA	NA	0	1	3	1	1104	0.96	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_003215327.1||full	0.96	ssDNA
NW_003215299.1	1	3	1	2418	0.893	0.893	1	3	1	2418	NA	NA	0	1	3	1	2418	0.893	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_003215299.1||full	0.893	ssDNA
NW_003214160.1	1	4	329	1609	0.973	0.973	1	4	329	1609	NA	NA	0	1	4	329	1609	0.973	0.0	0.0	0.0	25.0	0.0	75.0	0	ssDNA	linear	NW_003214160.1||full	0.973	ssDNA
NW_003213966.1	1	2	162	946	0.96	0.96	1	2	162	946	NA	NA	0	1	2	162	946	0.96	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003213966.1||full	0.96	ssDNA
NW_003213965.1	1	3	3	2665	0.787	0.787	1	3	3	2665	NA	NA	0	1	3	3	2665	0.787	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_003213965.1||full	0.787	ssDNA
NW_003213725.1	1	2	3	1437	0.947	0.947	1	2	3	1437	NA	NA	0	1	2	3	1437	0.947	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003213725.1||full	0.947	ssDNA
NW_003213480.1	1	3	917	3471	0.56	0.56	1	3	917	3471	NA	NA	0	1	3	917	3471	0.56	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003213480.1||full	0.56	ssDNA
NW_003213329.1	1	2	167	1055	0.993	0.993	1	2	167	1055	NA	NA	0	1	2	167	1055	0.993	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003213329.1||full	0.993	ssDNA
NW_003213309.1	1	3	1	1966	0.62	0.62	1	3	1	1966	NA	NA	0	1	3	1	1966	0.62	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_003213309.1||full	0.62	ssDNA
NW_003213093.1	1	2	2	923	0.993	0.993	1	2	2	923	NA	NA	0	1	2	2	923	0.993	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003213093.1||full	0.993	ssDNA
NW_003212838.1	1	3	143	1820	0.913	0.913	1	3	143	1820	NA	NA	0	1	3	143	1820	0.913	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_003212838.1||full	0.913	ssDNA
NW_003212562.1	1	6	200	4669	0.5	0.5	1	6	200	4669	NA	NA	0	1	6	200	4669	0.5	0.0	0.0	0.0	16.7	0.0	83.3	0	ssDNA	linear	NW_003212562.1||full	0.5	ssDNA
NW_003212429.1	1	3	1185	2455	0.927	0.927	1	3	1185	2455	NA	NA	0	1	3	1185	2455	0.927	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_003212429.1||full	0.927	ssDNA
NW_003212231.1	1	2	236	1119	0.993	0.993	1	2	236	1119	NA	NA	0	1	2	236	1119	0.993	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003212231.1||full	0.993	ssDNA
NW_003211999.1	1	2	504	1496	0.847	0.847	1	2	504	1496	NA	NA	0	1	2	504	1496	0.847	0.0	0.0	0.0	100.0	0.0	0.0	0	dsDNAphage	linear	NW_003211999.1||full	0.847	dsDNAphage
NW_003211607.1	1	2	7	868	0.987	0.987	1	2	7	868	NA	NA	0	1	2	7	868	0.987	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003211607.1||full	0.987	ssDNA
NW_003211496.1	1	2	415	1880	0.987	0.987	1	2	415	1880	NA	NA	0	1	2	415	1880	0.987	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003211496.1||full	0.987	ssDNA
NW_003209944.1	1	2	1	1817	0.947	0.947	1	2	1	1817	NA	NA	0	1	2	1	1817	0.947	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003209944.1||full	0.947	ssDNA
NW_003209820.1	1	4	3	6174	0.86	0.86	1	4	3	6174	NA	NA	0	1	4	3	6174	0.86	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003209820.1||full	0.86	ssDNA
NW_003209672.1	1	2	1063	4505	0.627	0.627	1	2	1063	4505	NA	NA	0	1	2	1063	4505	0.627	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_003209672.1||full	0.627	ssDNA
