seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NZ_AHZV01000292.1	1	3	1	1175	0.973	0.973	1	3	1	1175	NA	NA	0	1	3	1	1175	0.973	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NZ_AHZV01000292.1||full	0.973	ssDNA
NZ_AHZV01000288.1	1	3	1397	3849	0.807	0.807	1	3	1397	3849	NA	NA	0	1	3	1397	3849	0.807	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NZ_AHZV01000288.1||full	0.807	ssDNA
NZ_AHZV01000277.1	1	2	3	798	0.987	0.987	1	2	3	798	NA	NA	0	1	2	3	798	0.987	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_AHZV01000277.1||full	0.987	ssDNA
NZ_AHZV01000266.1	1	2	316	1662	0.947	0.947	1	2	316	1662	NA	NA	0	1	2	316	1662	0.947	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_AHZV01000266.1||full	0.947	ssDNA
NZ_AHZV01000228.1	1	3	3	2077	0.5	0.5	1	3	3	2077	NA	NA	0	1	3	3	2077	0.5	0.0	33.3	0.0	66.7	0.0	0.0	0	dsDNAphage	linear	NZ_AHZV01000228.1||full	0.5	dsDNAphage
NZ_AHZV01000199.1	1	5	1	3382	0.993	0.993	1	5	1	3382	NA	NA	0	1	5	1	3382	0.993	0.0	0.0	0.0	80.0	0.0	20.0	0	ssDNA	linear	NZ_AHZV01000199.1||full	0.993	ssDNA
NZ_AHZV01000192.1	1	2	290	2349	0.993	0.993	1	2	290	2349	NA	NA	0	1	2	290	2349	0.993	0.0	0.0	0.0	100.0	0.0	0.0	0	ssDNA	linear	NZ_AHZV01000192.1||full	0.993	ssDNA
NZ_AHZV01000174.1	1	3	3	5297	0.547	0.547	1	3	3	5297	NA	NA	0	1	3	3	5297	0.547	0.0	0.0	0.0	66.7	33.3	0.0	0	dsDNAphage	linear	NZ_AHZV01000174.1||full	0.547	dsDNAphage
NZ_AHZV01000081.1	1	5	598	5327	0.973	0.973	1	5	598	5327	NA	NA	0	1	5	598	5327	0.973	0.0	0.0	0.0	80.0	0.0	20.0	1	dsDNAphage	linear	NZ_AHZV01000081.1||full	0.973	dsDNAphage
NZ_AHZV01000018.1	1	5	3	1979	0.66	0.66	1	5	3	1979	NA	NA	0	1	5	3	1979	0.66	0.0	0.0	0.0	20.0	0.0	80.0	0	ssDNA	linear	NZ_AHZV01000018.1||full	0.66	ssDNA
