seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NW_001864000.1	1	2	330	916	0.607	0.607	1	2	330	916	NA	NA	0	1	2	330	916	0.607	0.0	0.0	0.0	50.0	50.0	0.0	1	dsDNAphage	linear	NW_001864000.1||full	0.607	dsDNAphage
NW_001862807.1	1	3	1	944	0.847	0.847	1	3	1	944	NA	NA	0	1	3	1	944	0.847	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_001862807.1||full	0.847	ssDNA
NW_001860434.1	1	2	93	901	0.687	0.687	1	2	93	901	NA	NA	0	1	2	93	901	0.687	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_001860434.1||full	0.687	ssDNA
NW_001858536.1	1	3	2	972	0.66	0.66	1	3	2	972	NA	NA	0	1	3	2	972	0.66	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_001858536.1||full	0.66	ssDNA
NW_001855846.1	1	2	1	1353	0.887	0.887	1	2	1	1353	NA	NA	0	1	2	1	1353	0.887	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_001855846.1||full	0.887	ssDNA
NW_001855605.1	1	3	1	1736	0.54	0.54	1	3	1	1736	NA	NA	0	1	3	1	1736	0.54	0.0	0.0	0.0	66.7	33.3	0.0	0	dsDNAphage	linear	NW_001855605.1||full	0.54	dsDNAphage
NW_001855558.1	1	5	2	3131	0.607	0.607	1	5	2	3131	NA	NA	0	1	5	2	3131	0.607	0.0	0.0	0.0	20.0	0.0	80.0	0	ssDNA	linear	NW_001855558.1||full	0.607	ssDNA
NW_001855379.1	1	2	46	1429	0.98	0.98	1	2	46	1429	NA	NA	0	1	2	46	1429	0.98	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_001855379.1||full	0.98	ssDNA
NW_001855371.1	1	6	2840	5750	0.553	0.553	1	6	2840	5750	NA	NA	0	1	6	2840	5750	0.553	0.0	0.0	0.0	16.7	0.0	83.3	0	dsDNAphage	linear	NW_001855371.1||full	0.553	dsDNAphage
NW_001855265.1	1	2	3	1415	0.987	0.987	1	2	3	1415	NA	NA	0	1	2	3	1415	0.987	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_001855265.1||full	0.987	ssDNA
NW_001855185.1	1	3	3	1012	0.62	0.62	1	3	3	1012	NA	NA	0	1	3	3	1012	0.62	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_001855185.1||full	0.62	ssDNA
NW_001855165.1	1	2	36	1089	0.933	0.933	1	2	36	1089	NA	NA	0	1	2	36	1089	0.933	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_001855165.1||full	0.933	ssDNA
NW_001855041.1	1	3	122	1637	0.653	0.653	1	3	122	1637	NA	NA	0	1	3	122	1637	0.653	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_001855041.1||full	0.653	ssDNA
NW_001854980.1	1	16	2415	11170	0.68	0.68	1	16	2415	11170	NA	NA	0	1	16	2415	11170	0.68	0.0	0.0	0.0	6.2	6.2	87.5	0	dsDNAphage	linear	NW_001854980.1||full	0.68	dsDNAphage
NW_001854936.1	1	4	1	1965	0.873	0.873	1	4	1	1965	NA	NA	0	1	4	1	1965	0.873	0.0	0.0	0.0	25.0	0.0	75.0	0	ssDNA	linear	NW_001854936.1||full	0.873	ssDNA
NW_001854868.1	1	3	83	1814	0.827	0.827	1	3	83	1814	NA	NA	0	1	3	83	1814	0.827	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_001854868.1||full	0.827	ssDNA
NW_001854807.1	1	7	3	4377	0.507	0.507	1	7	3	4377	NA	NA	0	1	7	3	4377	0.507	0.0	0.0	0.0	14.3	0.0	85.7	0	dsDNAphage	linear	NW_001854807.1||full	0.507	dsDNAphage
NW_001854737.1	1	5	58	3249	0.547	0.547	1	5	58	3249	NA	NA	0	1	5	58	3249	0.547	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_001854737.1||full	0.547	ssDNA
NW_001854698.1	1	9	62	4889	0.667	0.667	1	9	62	4889	NA	NA	0	1	9	62	4889	0.667	0.0	0.0	0.0	11.1	11.1	77.8	0	dsDNAphage	linear	NW_001854698.1||full	0.667	dsDNAphage
NW_001854644.1	1	4	99	2236	0.64	0.64	1	4	99	2236	NA	NA	0	1	4	99	2236	0.64	0.0	0.0	0.0	25.0	0.0	75.0	0	ssDNA	linear	NW_001854644.1||full	0.64	ssDNA
NW_001854631.1	1	16	759	7900	0.62	0.62	1	16	759	7900	NA	NA	0	1	16	759	7900	0.62	0.0	0.0	0.0	6.2	6.2	87.5	0	dsDNAphage	linear	NW_001854631.1||full	0.62	dsDNAphage
NW_001854596.1	1	5	1	3457	0.56	0.56	1	5	1	3457	NA	NA	0	1	5	1	3457	0.56	0.0	0.0	0.0	20.0	0.0	80.0	0	dsDNAphage	linear	NW_001854596.1||full	0.56	dsDNAphage
NW_001854549.1	1	11	1744	11520	0.58	0.58	1	11	1744	11520	NA	NA	0	1	11	1744	11520	0.58	0.0	0.0	0.0	27.3	0.0	72.7	0	dsDNAphage	linear	NW_001854549.1||full	0.767	ssDNA
NW_001854394.1	1	2	29	2228	0.56	0.56	1	2	29	2228	NA	NA	0	1	2	29	2228	0.56	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_001854394.1||full	0.56	ssDNA
NW_001854209.1	1	3	2	2396	0.527	0.527	1	3	2	2396	NA	NA	0	1	3	2	2396	0.527	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NW_001854209.1||full	0.527	ssDNA
NW_001854148.1	1	3	2	2387	0.513	0.513	1	3	2	2387	NA	NA	0	1	3	2	2387	0.513	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NW_001854148.1||full	0.513	ssDNA
