seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_AFPR01000550.1||full	0.620	0.367	0.620	dsDNAphage	3907	0	50.000	0.000
NZ_AFPR01000545.1||full	0.507	0.040	0.507	dsDNAphage	2614	0	25.000	0.000
NZ_AFPR01000544.1||full	0.727	0.847	0.847	ssDNA	1844	0	66.700	0.000
NZ_AFPR01000395.1||full	0.513	0.193	0.513	dsDNAphage	1339	0	33.300	0.000
NZ_AFPR01000218.1||full	0.580	0.000	0.580	dsDNAphage	5123	1	33.300	16.700
NZ_AFPR01000199.1||full	0.960	0.033	0.960	dsDNAphage	4590	1	28.600	0.000
NZ_AFPR01000170.1||full	0.867	0.033	0.867	dsDNAphage	5115	1	25.000	12.500
NZ_AFPR01000094.1||full	0.547	0.053	0.547	dsDNAphage	4985	0	16.700	0.000
NZ_AFPR01000051.1||full	0.547	0.140	0.547	dsDNAphage	1987	0	16.700	0.000
NZ_AFPR01000040.1||full	0.973	0.233	0.973	dsDNAphage	4264	1	12.500	0.000
NZ_AFPR01000033.1||0_partial	0.893	0.000	0.893	dsDNAphage	19835	1	19.400	29.000
