seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_ALKK01000001.1||full	1.000	0.307	1.000	dsDNAphage	27688	11	61.000	0.000
NZ_ALKK01000010.1||full	0.507	0.013	0.507	dsDNAphage	2716	0	50.000	25.000
NZ_ALKK01000011.1||full	1.000	0.000	1.000	dsDNAphage	84919	14	37.100	6.100
NZ_ALKK01000033.1||full	0.967	0.740	0.967	dsDNAphage	2042	0	40.000	0.000
NZ_ALKK01000040.1||full	0.693	0.033	0.693	dsDNAphage	4409	0	33.300	11.100
NZ_ALKK01000045.1||full	0.600	0.660	0.660	ssDNA	1162	0	100.000	0.000
NZ_ALKK01000064.1||full	0.600	0.687	0.687	ssDNA	1296	0	25.000	0.000
NZ_ALKK01000065.1||full	0.940	0.007	0.940	dsDNAphage	8119	1	36.400	9.100
NZ_ALKK01000077.1||full	0.880	0.720	0.880	dsDNAphage	2663	0	33.300	0.000
NZ_ALKK01000079.1||full	0.993	0.033	0.993	dsDNAphage	23154	9	70.400	7.400
NZ_ALKK01000084.1||full	0.960	0.860	0.960	dsDNAphage	4063	0	40.000	0.000
