seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NW_003207188.1||full	0.680	0.933	0.933	ssDNA	2102	0	50.000	0.000
NW_003199863.1||full	0.553	0.953	0.953	ssDNA	757	0	50.000	0.000
NW_003211999.1||full	0.847	0.827	0.847	dsDNAphage	993	0	100.000	0.000
NW_003215778.1||full	0.727	0.993	0.993	ssDNA	894	0	50.000	0.000
NW_003215500.1||full	0.327	0.960	0.960	ssDNA	1368	0	50.000	0.000
NW_003209672.1||full	0.473	0.627	0.627	ssDNA	3443	0	50.000	0.000
NW_003202376.1||full	0.327	0.987	0.987	ssDNA	1281	0	50.000	0.000
NW_003199623.1||full	0.687	0.960	0.960	ssDNA	1627	0	50.000	0.000
NW_003209394.1||full	0.787	1.000	1.000	ssDNA	1534	0	50.000	0.000
NW_003206014.1||full	0.440	1.000	1.000	ssDNA	1180	0	33.300	0.000
NW_003208202.1||full	0.640	0.780	0.780	ssDNA	2256	0	25.000	0.000
NW_003213480.1||full	0.333	0.560	0.560	ssDNA	2555	0	50.000	0.000
NW_003215327.1||full	0.807	0.960	0.960	ssDNA	1104	0	33.300	0.000
NW_003213966.1||full	0.633	0.960	0.960	ssDNA	785	0	50.000	0.000
NW_003214160.1||full	0.893	0.973	0.973	ssDNA	1281	0	25.000	0.000
NW_003209330.1||full	0.573	0.433	0.573	dsDNAphage	1911	0	40.000	20.000
NW_003199559.1||full	0.687	0.593	0.687	dsDNAphage	2869	0	33.300	0.000
NW_003204402.1||full	0.673	1.000	1.000	ssDNA	696	0	50.000	0.000
NW_003205053.1||full	0.593	0.993	0.993	ssDNA	875	0	50.000	0.000
NW_003200872.1||full	0.547	0.807	0.807	ssDNA	1300	0	33.300	0.000
NW_003204328.1||full	0.373	0.827	0.827	ssDNA	1864	0	50.000	0.000
NW_003199540.1||full	0.773	0.260	0.773	dsDNAphage	9404	0	33.300	0.000
NW_003215947.1||full	0.720	0.940	0.940	ssDNA	1970	0	33.300	0.000
NW_003215299.1||full	0.433	0.893	0.893	ssDNA	2418	0	33.300	0.000
NW_003209944.1||full	0.687	0.947	0.947	ssDNA	1817	0	50.000	0.000
NW_003205247.1||full	0.487	0.940	0.940	ssDNA	1517	0	33.300	0.000
NW_003208906.1||full	0.287	0.867	0.867	ssDNA	1290	0	50.000	0.000
NW_003199501.1||full	0.560	0.213	0.560	dsDNAphage	4169	0	25.000	0.000
NW_003206006.1||full	0.433	0.980	0.980	ssDNA	2009	0	33.300	0.000
NW_003211496.1||full	0.360	0.987	0.987	ssDNA	1466	0	50.000	0.000
NW_003205647.1||full	0.387	0.720	0.720	ssDNA	1908	0	33.300	0.000
NW_003201850.1||full	0.380	0.913	0.913	ssDNA	1015	0	33.300	0.000
NW_003200023.1||full	0.673	0.927	0.927	ssDNA	2916	0	20.000	0.000
NW_003216794.1||full	0.733	0.680	0.733	dsDNAphage	2079	0	20.000	0.000
NW_003203160.1||full	0.820	0.487	0.820	dsDNAphage	5992	0	7.700	0.000
NW_003213725.1||full	0.347	0.947	0.947	ssDNA	1435	0	50.000	0.000
NW_003209355.1||full	0.573	0.873	0.873	ssDNA	846	0	50.000	0.000
NW_003201713.1||full	0.533	0.160	0.533	dsDNAphage	1140	0	33.300	0.000
NW_003213329.1||full	0.773	0.993	0.993	ssDNA	889	0	50.000	0.000
NW_003202835.1||full	0.600	0.540	0.600	dsDNAphage	3143	0	25.000	0.000
NW_003209622.1||full	0.500	0.993	0.993	ssDNA	1431	0	50.000	0.000
NW_003211607.1||full	0.773	0.987	0.987	ssDNA	862	0	50.000	0.000
NW_003209606.1||full	0.493	0.760	0.760	ssDNA	2599	0	33.300	0.000
NW_003201534.1||full	0.407	0.880	0.880	ssDNA	2338	0	33.300	0.000
NW_003205323.1||full	0.873	0.387	0.873	dsDNAphage	2757	0	14.300	0.000
NW_003208723.1||full	0.913	0.500	0.913	dsDNAphage	3321	1	33.300	0.000
NW_003203627.1||full	0.933	0.993	0.993	ssDNA	555	0	100.000	0.000
NW_003199772.1||full	0.573	0.713	0.713	ssDNA	3326	0	20.000	0.000
NW_003212562.1||full	0.487	0.500	0.500	ssDNA	4470	0	16.700	0.000
NW_003212838.1||full	0.367	0.913	0.913	ssDNA	1678	0	33.300	0.000
NW_003209820.1||full	0.607	0.860	0.860	ssDNA	6172	0	50.000	0.000
NW_003212429.1||full	0.793	0.927	0.927	ssDNA	1271	0	33.300	0.000
NW_003212231.1||full	0.673	0.993	0.993	ssDNA	884	0	50.000	0.000
NW_003213309.1||full	0.600	0.620	0.620	ssDNA	1966	0	33.300	0.000
NW_003209436.1||full	0.807	0.980	0.980	ssDNA	980	0	50.000	0.000
NW_003216124.1||full	0.573	0.880	0.880	ssDNA	1038	0	50.000	0.000
NW_003200819.1||full	0.433	0.987	0.987	ssDNA	787	0	50.000	0.000
NW_003213093.1||full	0.293	0.993	0.993	ssDNA	922	0	50.000	0.000
NW_003203601.1||full	0.453	0.780	0.780	ssDNA	2406	0	33.300	0.000
NW_003208221.1||full	0.687	0.993	0.993	ssDNA	1408	0	50.000	0.000
NW_003209079.1||full	0.393	0.973	0.973	ssDNA	1089	0	33.300	0.000
NW_003213965.1||full	0.600	0.787	0.787	ssDNA	2663	0	33.300	0.000
NW_003206270.1||full	0.420	0.987	0.987	ssDNA	1744	0	50.000	0.000
NW_003206228.1||full	0.333	0.773	0.773	ssDNA	2198	0	33.300	0.000
NW_003207638.1||full	0.253	0.760	0.760	ssDNA	2377	0	50.000	0.000
NW_003205709.1||full	0.733	0.953	0.953	ssDNA	1086	0	50.000	0.000
NW_003209571.1||0_partial	0.947	0.007	0.947	dsDNAphage	14004	1	8.700	4.300
NW_003207677.1||0_partial	0.847	0.013	0.847	dsDNAphage	35713	1	2.800	4.200
NW_003209638.1||lt2gene	nan	nan	nan	dsDNAphage	1896	1	100.000	0.000
NW_003203736.1||lt2gene	nan	nan	nan	dsDNAphage	962	1	100.000	0.000
NW_003207984.1||lt2gene	nan	nan	nan	dsDNAphage	1041	1	100.000	0.000
NW_003213515.1||lt2gene	nan	nan	nan	dsDNAphage	1050	1	50.000	0.000
