seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NW_001864000.1||full	0.607	0.480	0.607	dsDNAphage	587	1	50.000	0.000
NW_001862807.1||full	0.427	0.847	0.847	ssDNA	944	0	33.300	0.000
NW_001860434.1||full	0.420	0.687	0.687	ssDNA	809	0	50.000	0.000
NW_001858536.1||full	0.607	0.660	0.660	ssDNA	971	0	33.300	0.000
NW_001855846.1||full	0.387	0.887	0.887	ssDNA	1353	0	50.000	0.000
NW_001855605.1||full	0.540	0.400	0.540	dsDNAphage	1736	0	66.700	0.000
NW_001855558.1||full	0.320	0.607	0.607	ssDNA	3130	0	20.000	0.000
NW_001855379.1||full	0.567	0.980	0.980	ssDNA	1384	0	50.000	0.000
NW_001855371.1||full	0.553	0.327	0.553	dsDNAphage	2911	0	16.700	0.000
NW_001855265.1||full	0.440	0.987	0.987	ssDNA	1413	0	50.000	0.000
NW_001855185.1||full	0.567	0.620	0.620	ssDNA	1010	0	33.300	0.000
NW_001855165.1||full	0.433	0.933	0.933	ssDNA	1054	0	50.000	0.000
NW_001855041.1||full	0.480	0.653	0.653	ssDNA	1516	0	33.300	0.000
NW_001854980.1||full	0.680	0.107	0.680	dsDNAphage	8756	0	6.200	0.000
NW_001854936.1||full	0.493	0.873	0.873	ssDNA	1965	0	25.000	0.000
NW_001854868.1||full	0.547	0.827	0.827	ssDNA	1732	0	33.300	0.000
NW_001854807.1||full	0.507	0.280	0.507	dsDNAphage	4375	0	14.300	0.000
NW_001854737.1||full	0.360	0.547	0.547	ssDNA	3192	0	33.300	0.000
NW_001854698.1||full	0.667	0.173	0.667	dsDNAphage	4828	0	11.100	0.000
NW_001854644.1||full	0.280	0.640	0.640	ssDNA	2138	0	25.000	0.000
NW_001854631.1||full	0.620	0.193	0.620	dsDNAphage	7142	0	6.200	0.000
NW_001854596.1||full	0.560	0.400	0.560	dsDNAphage	3457	0	20.000	0.000
NW_001854549.1||full	0.580	0.767	0.767	ssDNA	9777	0	27.300	0.000
NW_001854394.1||full	0.253	0.560	0.560	ssDNA	2200	0	50.000	0.000
NW_001854209.1||full	0.293	0.527	0.527	ssDNA	2395	0	50.000	0.000
NW_001854148.1||full	0.293	0.513	0.513	ssDNA	2386	0	33.300	0.000
NW_001854076.1||full	0.247	0.547	0.547	ssDNA	2689	0	25.000	0.000
NW_001854059.1||full	0.447	0.647	0.647	ssDNA	1705	0	33.300	0.000
NW_001853875.1||full	0.327	0.787	0.787	ssDNA	1516	0	50.000	0.000
NW_001853849.1||full	0.527	0.720	0.720	ssDNA	1851	0	50.000	0.000
NW_001853708.1||full	0.593	0.027	0.593	dsDNAphage	11916	0	6.700	0.000
NW_001853409.1||full	0.520	0.100	0.520	dsDNAphage	11251	0	10.000	0.000
NW_001853352.1||full	0.320	0.593	0.593	ssDNA	1832	0	33.300	0.000
NW_001853006.1||full	0.707	0.787	0.787	ssDNA	1798	0	100.000	0.000
