seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_AJQE01000128.1||full	0.500	0.620	0.620	ssDNA	1116	0	50.000	0.000
NZ_AJQE01000155.1||full	0.547	0.033	0.547	dsDNAphage	2433	0	20.000	0.000
NZ_AJQE01000212.1||full	0.693	0.007	0.693	dsDNAphage	6021	0	12.500	0.000
NZ_AJQE01000219.1||full	0.760	0.000	0.760	dsDNAphage	26058	1	23.300	13.300
NZ_AJQE01000348.1||full	0.507	0.240	0.507	dsDNAphage	2465	0	20.000	0.000
NZ_AJQE01000426.1||full	0.607	0.013	0.607	dsDNAphage	13129	0	22.200	7.400
NZ_AJQE01000457.1||full	0.533	0.100	0.533	dsDNAphage	3118	0	50.000	16.700
NZ_AJQE01000465.1||full	0.560	0.953	0.953	ssDNA	2126	0	50.000	0.000
NZ_AJQE01000467.1||full	0.753	0.540	0.753	dsDNAphage	2183	0	33.300	0.000
NZ_AJQE01000141.1||0_partial	0.947	0.000	0.947	dsDNAphage	18537	2	14.300	19.000
