seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NZ_JH815327.1	1	2	78	1477	0.987	0.987	1	2	78	1477	NA	NA	0	1	2	78	1477	0.987	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_JH815327.1||full	0.987	ssDNA
NZ_JH815326.1	1	5	2	1502	0.993	0.993	1	5	2	1502	NA	NA	0	1	5	2	1502	0.993	0.0	0.0	0.0	40.0	0.0	60.0	1	dsDNAphage	linear	NZ_JH815326.1||full	0.993	dsDNAphage
NZ_JH815325.1	1	3	36	1854	0.973	0.973	1	3	36	1854	NA	NA	0	1	3	36	1854	0.973	0.0	33.3	0.0	66.7	0.0	0.0	1	dsDNAphage	linear	NZ_JH815325.1||full	0.973	dsDNAphage
NZ_JH815323.1	1	5	1	3111	0.987	0.987	1	5	1	3111	NA	NA	0	1	5	1	3111	0.987	0.0	0.0	0.0	60.0	0.0	40.0	1	dsDNAphage	linear	NZ_JH815323.1||full	0.987	dsDNAphage
NZ_JH815321.1	1	10	3	4806	0.987	0.987	1	10	3	4806	NA	NA	0	1	10	3	4806	0.987	0.0	10.0	0.0	30.0	0.0	60.0	1	dsDNAphage	linear	NZ_JH815321.1||full	0.987	dsDNAphage
NZ_JH815320.1	1	4	107	5009	1.0	1.0	1	4	107	5009	NA	NA	0	1	4	107	5009	1.0	0.0	0.0	0.0	75.0	0.0	25.0	3	dsDNAphage	linear	NZ_JH815320.1||full	1.0	dsDNAphage
NZ_JH815319.1	1	9	47	7835	0.993	0.993	1	9	47	7835	NA	NA	0	1	9	47	7835	0.993	0.0	0.0	0.0	33.3	0.0	66.7	2	dsDNAphage	linear	NZ_JH815319.1||full	0.993	dsDNAphage
NZ_JH815317.1	1	18	169	13688	0.92	0.92	1	18	169	13688	NA	NA	0	1	18	169	13688	0.92	0.0	5.6	0.0	27.8	5.6	61.1	1	dsDNAphage	linear	NZ_JH815317.1||full	0.92	dsDNAphage
NZ_JH815314.1	1	26	3	18124	0.993	0.993	1	26	3	18124	NA	NA	0	1	26	3	18124	0.993	0.0	7.7	0.0	57.7	3.8	30.8	6	dsDNAphage	linear	NZ_JH815314.1||full	0.993	dsDNAphage
NZ_JH815311.1	1	41	3	38741	0.827	0.827	1	41	3	38741	NA	NA	0	1	41	3	38741	0.827	0.0	29.3	0.0	24.4	14.6	31.7	4	dsDNAphage	linear	NZ_JH815311.1||full	0.827	dsDNAphage
NZ_JH815304.1	1	214	458	214149	0.8	0.82	1	214	458	214149	NA	NA	0	1	214	458	214149	0.8	0.0	22.0	0.0	23.8	25.2	29.0	6	dsDNAphage	linear	NZ_JH815304.1||full	0.8	dsDNAphage
NZ_JH815309.1	49	68	50066	70664	0.933	0.94	49	68	50066	70664	0.933	0.953	1	1	68	1	70664	0.647	0.0	20.0	0.0	45.0	15.0	20.0	4	dsDNAphage	linear	NZ_JH815309.1||0_partial	0.933	dsDNAphage
NZ_JH815301.1	210	289	226832	303446	0.9	0.933	210	289	226832	303446	0.9	0.993	1	1	352	134	365915	0.713	0.0	25.0	0.0	35.9	27.2	12.0	12	dsDNAphage	linear	NZ_JH815301.1||0_partial	0.9	dsDNAphage
