name	length	score	pvalue	qvalue
NZ_AGBG01000114.1 Ectothiorhodospira sp. PHS-1 contig114, whole genome shotgun sequence	203	0.00714677700937428	0.979026812313803	0.862951280910262
NZ_AGBG01000113.1 Ectothiorhodospira sp. PHS-1 contig113, whole genome shotgun sequence	243	0.295126486930794	0.36635551142006	0.814237559858233
NZ_AGBG01000112.1 Ectothiorhodospira sp. PHS-1 contig112, whole genome shotgun sequence	249	0.353382463875322	0.306573982125124	0.814237559858233
NZ_AGBG01000111.1 Ectothiorhodospira sp. PHS-1 contig111, whole genome shotgun sequence	263	0.884318280416879	0.01759682224429	0.760969682110498
NZ_AGBG01000110.1 Ectothiorhodospira sp. PHS-1 contig110, whole genome shotgun sequence	297	0.0128340387411651	0.954359483614697	0.852251858443447
NZ_AGBG01000109.1 Ectothiorhodospira sp. PHS-1 contig109, whole genome shotgun sequence	307	0.479778047197161	0.207388282025819	0.814237559858233
NZ_AGBG01000108.1 Ectothiorhodospira sp. PHS-1 contig108, whole genome shotgun sequence	318	0.0043844050195888	0.989294935451837	0.864352852921245
NZ_AGBG01000107.1 Ectothiorhodospira sp. PHS-1 contig107, whole genome shotgun sequence	348	0.220610424035047	0.457934458788481	0.814237559858233
NZ_AGBG01000106.1 Ectothiorhodospira sp. PHS-1 contig106, whole genome shotgun sequence	349	0.310486994976933	0.350268123138034	0.814237559858233
NZ_AGBG01000105.1 Ectothiorhodospira sp. PHS-1 contig105, whole genome shotgun sequence	375	0.0118633660980784	0.958331678252234	0.852251858443447
NZ_AGBG01000104.1 Ectothiorhodospira sp. PHS-1 contig104, whole genome shotgun sequence	379	0.293079716985169	0.368778550148957	0.814237559858233
NZ_AGBG01000103.1 Ectothiorhodospira sp. PHS-1 contig103, whole genome shotgun sequence	403	0.0790838204260734	0.725600794438928	0.814237559858233
NZ_AGBG01000102.1 Ectothiorhodospira sp. PHS-1 contig102, whole genome shotgun sequence	408	0.0373734967897506	0.857656405163853	0.839127165800652
NZ_AGBG01000101.1 Ectothiorhodospira sp. PHS-1 contig101, whole genome shotgun sequence	411	0.246176168199074	0.424309831181728	0.814237559858233
NZ_AGBG01000100.1 Ectothiorhodospira sp. PHS-1 contig100, whole genome shotgun sequence	421	0.0247297406103069	0.90609731876862	0.843453613083799
NZ_AGBG01000099.1 Ectothiorhodospira sp. PHS-1 contig099, whole genome shotgun sequence	434	0.258795634276054	0.408699106256207	0.814237559858233
NZ_AGBG01000098.1 Ectothiorhodospira sp. PHS-1 contig098, whole genome shotgun sequence	436	0.565682823758527	0.154001986097319	0.814237559858233
NZ_AGBG01000097.1 Ectothiorhodospira sp. PHS-1 contig097, whole genome shotgun sequence	445	0.110161136851257	0.649652432969215	0.814237559858233
NZ_AGBG01000096.1 Ectothiorhodospira sp. PHS-1 contig096, whole genome shotgun sequence	452	0.0622725510188094	0.774141012909633	0.814237559858233
NZ_AGBG01000095.1 Ectothiorhodospira sp. PHS-1 contig095, whole genome shotgun sequence	481	0.421870122386498	0.248599801390268	0.814237559858233
NZ_AGBG01000094.1 Ectothiorhodospira sp. PHS-1 contig094, whole genome shotgun sequence	482	0.209852882578112	0.472333664349553	0.814237559858233
NZ_AGBG01000093.1 Ectothiorhodospira sp. PHS-1 contig093, whole genome shotgun sequence	542	0.229261651104187	0.446017874875869	0.814237559858233
NZ_AGBG01000092.1 Ectothiorhodospira sp. PHS-1 contig092, whole genome shotgun sequence	551	0.0125787125568794	0.955749751737835	0.852251858443447
NZ_AGBG01000091.1 Ectothiorhodospira sp. PHS-1 contig091, whole genome shotgun sequence	626	0.538475653348388	0.169910625620655	0.814237559858233
NZ_AGBG01000090.1 Ectothiorhodospira sp. PHS-1 contig090, whole genome shotgun sequence	639	0.703013237474133	0.0837140019860973	0.814237559858233
NZ_AGBG01000089.1 Ectothiorhodospira sp. PHS-1 contig089, whole genome shotgun sequence	650	0.0844843166961817	0.712214498510427	0.814237559858233
NZ_AGBG01000088.1 Ectothiorhodospira sp. PHS-1 contig088, whole genome shotgun sequence	667	0.208671386486306	0.474021847070506	0.814237559858233
NZ_AGBG01000087.1 Ectothiorhodospira sp. PHS-1 contig087, whole genome shotgun sequence	670	0.0987834822466808	0.676425024826216	0.814237559858233
NZ_AGBG01000086.1 Ectothiorhodospira sp. PHS-1 contig086, whole genome shotgun sequence	688	0.509227146740496	0.188083416087388	0.814237559858233
