seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_AJLJ01000024.1||full	0.627	0.800	0.800	ssDNA	4738	0	66.700	0.000
NZ_AJLJ01000059.1||full	0.960	0.213	0.960	dsDNAphage	7077	1	40.000	0.000
NZ_AJLJ01000086.1||full	0.887	1.000	1.000	ssDNA	917	0	100.000	0.000
NZ_AJLJ01000087.1||full	0.507	0.967	0.967	ssDNA	1139	0	100.000	0.000
NZ_AJLJ01000148.1||full	0.653	0.987	0.987	ssDNA	1463	0	50.000	0.000
NZ_AJLJ01000201.1||full	0.533	0.000	0.533	dsDNAphage	34439	1	18.500	11.100
NZ_AJLJ01000220.1||full	0.793	0.893	0.893	ssDNA	3394	0	100.000	0.000
NZ_AJLJ01000236.1||full	0.547	0.967	0.967	ssDNA	763	0	50.000	0.000
NZ_AJLJ01000244.1||full	0.260	0.900	0.900	ssDNA	2692	0	50.000	0.000
NZ_AJLJ01000280.1||full	0.680	0.993	0.993	ssDNA	1223	0	100.000	0.000
NZ_AJLJ01000509.1||full	0.873	0.993	0.993	ssDNA	806	0	100.000	0.000
