seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NZ_AJQE01000467.1	1	3	3	2185	0.753	0.753	1	3	3	2185	NA	NA	0	1	3	3	2185	0.753	0.0	0.0	0.0	33.3	0.0	66.7	0	dsDNAphage	linear	NZ_AJQE01000467.1||full	0.753	dsDNAphage
NZ_AJQE01000465.1	1	2	110	2235	0.953	0.953	1	2	110	2235	NA	NA	0	1	2	110	2235	0.953	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_AJQE01000465.1||full	0.953	ssDNA
NZ_AJQE01000457.1	1	6	89	3206	0.533	0.533	1	6	89	3206	NA	NA	0	1	6	89	3206	0.533	0.0	16.7	0.0	50.0	0.0	33.3	0	dsDNAphage	linear	NZ_AJQE01000457.1||full	0.533	dsDNAphage
NZ_AJQE01000426.1	2	28	2067	15195	0.607	0.607	1	28	1	15195	NA	NA	0	1	28	1	15195	0.547	0.0	7.4	0.0	22.2	3.7	66.7	0	dsDNAphage	linear	NZ_AJQE01000426.1||full	0.607	dsDNAphage
NZ_AJQE01000348.1	1	5	2	2466	0.507	0.507	1	5	2	2466	NA	NA	0	1	5	2	2466	0.507	0.0	0.0	0.0	20.0	0.0	80.0	0	dsDNAphage	linear	NZ_AJQE01000348.1||full	0.507	dsDNAphage
NZ_AJQE01000219.1	3	29	1803	27860	0.76	0.76	1	31	1	28899	NA	NA	0	1	31	1	28899	0.547	0.0	13.3	0.0	23.3	13.3	50.0	1	dsDNAphage	linear	NZ_AJQE01000219.1||full	0.76	dsDNAphage
NZ_AJQE01000212.1	1	8	2	6022	0.693	0.693	1	8	2	6022	NA	NA	0	1	8	2	6022	0.693	0.0	0.0	0.0	12.5	12.5	75.0	0	dsDNAphage	linear	NZ_AJQE01000212.1||full	0.693	dsDNAphage
NZ_AJQE01000155.1	1	5	210	2642	0.547	0.547	1	5	210	2642	NA	NA	0	1	5	210	2642	0.547	0.0	0.0	0.0	20.0	20.0	60.0	0	dsDNAphage	linear	NZ_AJQE01000155.1||full	0.547	dsDNAphage
NZ_AJQE01000128.1	1	2	2	1117	0.62	0.62	1	2	2	1117	NA	NA	0	1	2	2	1117	0.62	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_AJQE01000128.1||full	0.62	ssDNA
NZ_AJQE01000141.1	22	50	23249	41785	0.947	0.993	21	50	22676	41785	0.94	1.0	1	1	79	2	67685	0.393	0.0	19.0	0.0	14.3	7.1	59.5	2	dsDNAphage	linear	NZ_AJQE01000141.1||0_partial	0.947	dsDNAphage
