seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_ANNO01000047.1||full	0.473	0.993	0.993	ssDNA	1535	0	50.000	0.000
NZ_ANNO01000083.1||full	0.307	0.993	0.993	ssDNA	1696	0	33.300	0.000
NZ_ANNO01000085.1||full	0.740	0.220	0.740	dsDNAphage	4191	0	25.000	0.000
NZ_ANNO01000114.1||full	0.700	0.280	0.700	dsDNAphage	3667	0	80.000	0.000
NZ_ANNO01000123.1||full	0.800	0.000	0.800	dsDNAphage	32298	2	37.500	33.300
NZ_ANNO01000124.1||full	0.953	0.000	0.953	dsDNAphage	18055	8	40.900	27.300
NZ_ANNO01000153.1||full	0.753	0.300	0.753	dsDNAphage	3551	0	66.700	0.000
NZ_ANNO01000171.1||full	0.847	0.020	0.847	dsDNAphage	11540	0	34.800	8.700
NZ_ANNO01000172.1||full	0.940	0.000	0.940	dsDNAphage	38807	8	43.800	12.500
NZ_ANNO01000264.1||full	0.613	0.007	0.613	dsDNAphage	4100	1	20.000	0.000
NZ_ANNO01000319.1||full	0.233	0.993	0.993	ssDNA	1490	0	50.000	0.000
NZ_ANNO01000370.1||full	0.613	0.960	0.960	ssDNA	1282	0	33.300	0.000
NZ_ANNO01000394.1||full	1.000	0.007	1.000	dsDNAphage	15385	5	47.800	4.300
NZ_ANNO01000396.1||full	0.813	0.000	0.813	dsDNAphage	34312	2	29.700	32.400
NZ_ANNO01000446.1||full	0.507	0.053	0.507	dsDNAphage	4875	0	50.000	0.000
NZ_ANNO01000457.1||full	0.880	1.000	1.000	ssDNA	895	0	50.000	0.000
NZ_ANNO01000458.1||full	0.893	1.000	1.000	ssDNA	3260	0	60.000	0.000
NZ_ANNO01000281.1||lt2gene	nan	nan	nan	dsDNAphage	1976	1	100.000	0.000
