seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_CAGS01000730.1||full	0.720	0.580	0.720	dsDNAphage	2522	0	33.300	0.000
NZ_CAGS01000603.1||full	0.927	0.480	0.927	dsDNAphage	1175	0	100.000	0.000
NZ_CAGS01000569.1||full	0.680	0.327	0.680	dsDNAphage	2467	0	25.000	0.000
NZ_CAGS01000562.1||full	0.607	0.707	0.707	ssDNA	2226	0	25.000	0.000
NZ_CAGS01000561.1||full	0.647	0.560	0.647	dsDNAphage	2278	0	50.000	0.000
NZ_CAGS01000549.1||full	0.500	0.540	0.540	ssDNA	3310	0	66.700	0.000
NZ_CAGS01000532.1||full	0.613	0.480	0.613	dsDNAphage	2975	0	33.300	0.000
NZ_CAGS01000479.1||full	0.507	0.000	0.507	dsDNAphage	18243	0	27.300	9.100
NZ_CAGS01000475.1||full	0.307	0.973	0.973	ssDNA	1647	0	33.300	0.000
NZ_CAGS01000437.1||full	1.000	0.127	1.000	dsDNAphage	12673	1	38.100	0.000
NZ_CAGS01000433.1||full	0.980	0.620	0.980	dsDNAphage	2696	0	12.500	0.000
NZ_CAGS01000432.1||full	0.893	0.153	0.893	dsDNAphage	8535	0	18.800	0.000
NZ_CAGS01000255.1||full	0.967	0.000	0.967	dsDNAphage	15818	3	30.000	5.000
NZ_CAGS01000171.1||full	1.000	0.047	1.000	dsDNAphage	27651	8	47.200	0.000
NZ_CAGS01000170.1||full	0.960	0.040	0.960	dsDNAphage	10619	0	27.300	4.500
NZ_CAGS01000154.1||full	0.887	0.207	0.887	dsDNAphage	5275	0	33.300	0.000
NZ_CAGS01000148.1||full	0.913	0.680	0.913	dsDNAphage	12390	0	34.600	0.000
NZ_CAGS01000115.1||full	0.740	0.920	0.920	ssDNA	1793	0	66.700	0.000
NZ_CAGS01000618.1||lt2gene	nan	nan	nan	dsDNAphage	994	1	100.000	0.000
