seqname	trim_orf_index_start	trim_orf_index_end	trim_bp_start	trim_bp_end	trim_pr	trim_pr_max	prox_orf_index_start	prox_orf_index_end	prox_bp_start	prox_bp_end	prox_pr	prox_pr_max	partial	full_orf_index_start	full_orf_index_end	full_bp_start	full_bp_end	pr_full	arc	bac	euk	vir	mix	unaligned	hallmark_cnt	group	shape	seqname_new	final_max_score	final_max_score_group
NZ_ANNO01000458.1	1	5	3	3262	1.0	1.0	1	5	3	3262	NA	NA	0	1	5	3	3262	1.0	0.0	0.0	0.0	60.0	0.0	40.0	0	ssDNA	linear	NZ_ANNO01000458.1||full	1.0	ssDNA
NZ_ANNO01000457.1	1	2	280	1174	1.0	1.0	1	2	280	1174	NA	NA	0	1	2	280	1174	1.0	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_ANNO01000457.1||full	1.0	ssDNA
NZ_ANNO01000446.1	1	4	199	5073	0.507	0.507	1	4	199	5073	NA	NA	0	1	4	199	5073	0.507	0.0	0.0	0.0	50.0	25.0	25.0	0	dsDNAphage	linear	NZ_ANNO01000446.1||full	0.507	dsDNAphage
NZ_ANNO01000396.1	1	37	3	34314	0.813	0.853	1	37	3	34314	NA	NA	0	1	37	3	34314	0.813	0.0	32.4	0.0	29.7	8.1	29.7	2	dsDNAphage	linear	NZ_ANNO01000396.1||full	0.813	dsDNAphage
NZ_ANNO01000394.1	1	23	3	15387	1.0	1.0	1	23	3	15387	NA	NA	0	1	23	3	15387	1.0	0.0	4.3	0.0	47.8	0.0	47.8	5	dsDNAphage	linear	NZ_ANNO01000394.1||full	1.0	dsDNAphage
NZ_ANNO01000370.1	1	3	241	1522	0.96	0.96	1	3	241	1522	NA	NA	0	1	3	241	1522	0.96	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NZ_ANNO01000370.1||full	0.96	ssDNA
NZ_ANNO01000319.1	1	2	3	1492	0.993	0.993	1	2	3	1492	NA	NA	0	1	2	3	1492	0.993	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_ANNO01000319.1||full	0.993	ssDNA
NZ_ANNO01000264.1	1	5	3	4102	0.613	0.613	1	5	3	4102	NA	NA	0	1	5	3	4102	0.613	0.0	0.0	0.0	20.0	60.0	20.0	1	dsDNAphage	linear	NZ_ANNO01000264.1||full	0.613	dsDNAphage
NZ_ANNO01000172.1	1	48	3	38809	0.94	0.98	1	48	3	38809	NA	NA	0	1	48	3	38809	0.94	0.0	12.5	0.0	43.8	12.5	31.2	8	dsDNAphage	linear	NZ_ANNO01000172.1||full	0.94	dsDNAphage
NZ_ANNO01000171.1	1	23	1	11540	0.847	0.847	1	23	1	11540	NA	NA	0	1	23	1	11540	0.847	0.0	8.7	0.0	34.8	0.0	56.5	0	dsDNAphage	linear	NZ_ANNO01000171.1||full	0.847	dsDNAphage
NZ_ANNO01000153.1	1	3	3	3553	0.753	0.753	1	3	3	3553	NA	NA	0	1	3	3	3553	0.753	0.0	0.0	0.0	66.7	33.3	0.0	0	dsDNAphage	linear	NZ_ANNO01000153.1||full	0.753	dsDNAphage
NZ_ANNO01000124.1	1	22	3	18057	0.953	0.967	1	22	3	18057	NA	NA	0	1	22	3	18057	0.953	0.0	27.3	0.0	40.9	4.5	27.3	8	dsDNAphage	linear	NZ_ANNO01000124.1||full	0.953	dsDNAphage
NZ_ANNO01000123.1	1	24	3	32300	0.8	0.8	1	24	3	32300	NA	NA	0	1	24	3	32300	0.8	0.0	33.3	0.0	37.5	16.7	12.5	2	dsDNAphage	linear	NZ_ANNO01000123.1||full	0.8	dsDNAphage
NZ_ANNO01000114.1	1	5	2	3668	0.7	0.7	1	5	2	3668	NA	NA	0	1	5	2	3668	0.7	0.0	0.0	0.0	80.0	20.0	0.0	0	dsDNAphage	linear	NZ_ANNO01000114.1||full	0.7	dsDNAphage
NZ_ANNO01000085.1	1	4	3	4193	0.74	0.74	1	4	3	4193	NA	NA	0	1	4	3	4193	0.74	0.0	0.0	0.0	25.0	0.0	75.0	0	dsDNAphage	linear	NZ_ANNO01000085.1||full	0.74	dsDNAphage
NZ_ANNO01000083.1	1	3	354	2049	0.993	0.993	1	3	354	2049	NA	NA	0	1	3	354	2049	0.993	0.0	0.0	0.0	33.3	0.0	66.7	0	ssDNA	linear	NZ_ANNO01000083.1||full	0.993	ssDNA
NZ_ANNO01000047.1	1	2	137	1671	0.993	0.993	1	2	137	1671	NA	NA	0	1	2	137	1671	0.993	0.0	0.0	0.0	50.0	0.0	50.0	0	ssDNA	linear	NZ_ANNO01000047.1||full	0.993	ssDNA
