seqname	dsDNAphage	ssDNA	max_score	max_score_group	length	hallmark	viral	cellular
NZ_JH815304.1||full	0.800	0.000	0.800	dsDNAphage	213692	6	23.800	22.000
NZ_JH815311.1||full	0.827	0.000	0.827	dsDNAphage	38739	4	24.400	29.300
NZ_JH815314.1||full	0.993	0.007	0.993	dsDNAphage	18122	6	57.700	7.700
NZ_JH815317.1||full	0.920	0.007	0.920	dsDNAphage	13520	1	27.800	5.600
NZ_JH815319.1||full	0.993	0.680	0.993	dsDNAphage	7789	2	33.300	0.000
NZ_JH815320.1||full	1.000	0.913	1.000	dsDNAphage	4903	3	75.000	0.000
NZ_JH815321.1||full	0.987	0.047	0.987	dsDNAphage	4804	1	30.000	10.000
NZ_JH815323.1||full	0.987	0.833	0.987	dsDNAphage	3111	1	60.000	0.000
NZ_JH815325.1||full	0.973	0.060	0.973	dsDNAphage	1819	1	66.700	33.300
NZ_JH815326.1||full	0.993	0.947	0.993	dsDNAphage	1501	1	40.000	0.000
NZ_JH815327.1||full	0.560	0.987	0.987	ssDNA	1400	0	50.000	0.000
NZ_JH815301.1||0_partial	0.900	0.000	0.900	dsDNAphage	76615	12	35.900	25.000
NZ_JH815309.1||0_partial	0.933	0.000	0.933	dsDNAphage	20599	4	45.000	20.000
