##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_000157955.1	PRJNA224116	SAMN00008862	ACBY00000000.2	na	411471	214851	Subdoligranulum variabile DSM 15176	strain=DSM 15176	na	latest	Scaffold	Major	Full	2009/10/06	ASM15795v1	Washington University Genome Sequencing Center	GCA_000157955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/157/955/GCF_000157955.1_ASM15795v1	na	assembly from type material	na	haploid	bacteria	3245471	3237471	57.5	0	11	91	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/11/23	3113	2990	68	na
GCF_000160095.1	PRJNA224116	SAMN00008805	ACIO00000000.1	na	566550	154046	Hungatella hathewayi DSM 13479	strain=DSM 13479	na	latest	Scaffold	Major	Full	2009/05/08	ASM16009v1	Washington University Genome Sequencing Center	GCA_000160095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/095/GCF_000160095.1_ASM16009v1	na	assembly from type material	na	haploid	bacteria	7163884	6626224	48.0	0	714	1294	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/11/23	6790	6224	66	na
GCF_000163775.2	PRJNA224116	SAMN02463833	ADCY00000000.2	na	641147	72	Simonsiella muelleri ATCC 29453	strain=ATCC 29453	na	latest	Scaffold	Major	Full	2012/09/19	Simo_muel_ATCC_29453_V2	Broad Institute	GCA_000163775.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/775/GCF_000163775.2_Simo_muel_ATCC_29453_V2	na	assembly from type material	na	haploid	bacteria	2372614	2343541	41.0	0	29	82	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	05/16/23	2368	2222	69	na
GCF_000168015.1	PRJNA224116	SAMN00005353	AALE00000000.2	na	349966	29484	Yersinia frederiksenii ATCC 33641	strain=ATCC 33641	na	latest	Contig	Major	Full	2009/06/01	ASM16801v1	Naval Medical Research Center	GCA_000168015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/015/GCF_000168015.1_ASM16801v1	na	assembly from type material	na	haploid	bacteria	4885341	4885341	46.5	0	161	161	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	04/23/23	4492	4268	82	na
GCF_000168055.1	PRJNA224116	SAMN02435837	AAMD00000000.1	na	378806	41	Stigmatella aurantiaca DW4/3-1	strain=DW4/3-1	na	latest	Contig	Major	Full	2006/09/28	ASM16805v1	TIGR	GCA_000168055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/055/GCF_000168055.1_ASM16805v1	na	na	na	haploid	bacteria	10265408	10265408	67.0	0	579	579	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	12/29/22	8820	8343	58	na
GCF_000169155.1	PRJNA224116	SAMN00623067	AAWL00000000.1	representative genome	401526	261685	Thermosinus carboxydivorans Nor1	strain=Nor1	na	latest	Contig	Major	Full	2007/01/05	ASM16915v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000169155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/155/GCF_000169155.1_ASM16915v1	na	assembly from type material	na	haploid	bacteria	2889774	2889774	51.0	0	49	49	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	12/28/22	2936	2756	116	na
GCF_000171235.2	PRJNA224116	SAMN02256391	ABEA00000000.3	representative genome	278957	1148786	Geminisphaera colitermitum TAV2	strain=TAV2	na	latest	Contig	Major	Full	2013/04/26	ASM17123v2	US DOE Joint Genome Institute (JGI-PGF)	GCA_000171235.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/171/235/GCF_000171235.2_ASM17123v2	na	assembly from type material	na	haploid	bacteria	5671497	5671497	60.5	0	225	225	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	01/01/23	5074	4863	77	na
GCF_000173075.1	PRJNA224116	SAMN00000678	ABVL00000000.1	na	497964	191863	Chthoniobacter flavus Ellin428	strain=Ellin428	na	latest	Scaffold	Major	Full	2008/08/15	ASM17307v1	US DOE Joint Genome Institute (JGI-PGF)	GCA_000173075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/173/075/GCF_000173075.1_ASM17307v1	na	assembly from type material	na	haploid	bacteria	7848700	7848640	61.0	0	62	62	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	02/12/23	6652	6526	65	21460085
GCF_000174215.1	PRJNA224116	SAMN02595304	ACGB00000000.1	na	187327	187327	Acidaminococcus intestini	strain=D21	na	latest	Contig	Major	Full	2009/03/10	ASM17421v1	Broad Institute	GCA_000174215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/215/GCF_000174215.1_ASM17421v1	na	na	na	haploid	bacteria	2238973	2238973	50.0	0	79	79	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	03/24/23	2130	2051	57	na
GCF_000176335.1	PRJNA224116	SAMN00004572	ADAD00000000.1	na	596323	157692	Pseudoleptotrichia goodfellowii F0264	strain=F0264	na	latest	Contig	Major	Full	2009/10/20	ASM17633v1	J. Craig Venter Institute	GCA_000176335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/335/GCF_000176335.1_ASM17633v1	na	na	na	haploid	bacteria	2287284	2287284	31.5	0	208	208	NCBI RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	12/14/22	2350	2238	46	na
